ID,Name,Category,Gender,Follower Count,Platform
1,Steven Soto,Wellness,Male,147528,Facebook
2,Janet Smith,Bodybuilding,Male,895192,Instagram
3,Jared Jones,Wellness,Male,176778,Instagram
4,Candace Yates,Fitness,Male,598879,Instagram
5,Dr. Jason Rodriguez,Wellness,Male,56736,Twitter
6,Heather Russo,Bodybuilding,Female,357005,Twitter
7,Virginia Edwards,Bodybuilding,Male,171485,Facebook
8,Jamie Payne,Bodybuilding,Male,332905,Twitter
9,Angel May,Wellness,Male,384977,YouTube
10,Jennifer Adams,Bodybuilding,Male,628420,Twitter
11,Beth Wise,Fitness,Female,340414,YouTube
12,Aaron Estrada,Nutrition,Male,77630,Twitter
13,Tracy Schneider,Nutrition,Female,353837,Instagram
14,Kimberly Maddox,Nutrition,Female,319967,YouTube
15,Samantha Jones,Fitness,Female,711119,Instagram
16,Bridget Christensen,Fitness,Male,523655,Twitter
17,Sharon Young,Bodybuilding,Male,979508,Facebook
18,Chad Solis,Bodybuilding,Female,171700,YouTube
19,Dean Flores,Nutrition,Male,46557,Facebook
20,Hannah Smith,Bodybuilding,Male,127916,Facebook
21,Cameron Wilson,Wellness,Female,648094,Facebook
22,Mary Mcneil,Fitness,Male,835129,Twitter
23,Andrew Rocha,Wellness,Male,381612,Facebook
24,Brandon Dennis,Bodybuilding,Male,419435,Facebook
25,James Coffey,Fitness,Male,862315,Facebook
26,Joseph Carpenter,Nutrition,Male,462740,Twitter
27,Sandra Foster,Wellness,Male,996141,Instagram
28,Robin Perkins,Nutrition,Female,197521,YouTube
29,David Wilson,Fitness,Female,354011,Instagram
30,Joshua Dougherty,Nutrition,Female,823506,Facebook
31,Vanessa Ramirez DVM,Nutrition,Female,846719,YouTube
32,Angela Mendez,Nutrition,Female,643628,Twitter
33,Maurice Powers,Bodybuilding,Female,657903,Instagram
34,Julie Scott,Nutrition,Male,848718,Facebook
35,Ricky Flores,Bodybuilding,Male,859127,Twitter
36,Erica Thomas,Nutrition,Male,780178,YouTube
37,Stephanie Alvarez,Fitness,Male,333956,Instagram
38,Melanie Wallace,Fitness,Male,227679,Twitter
39,Kimberly Anderson,Fitness,Female,824274,YouTube
40,Dakota Patton,Bodybuilding,Female,965698,Twitter
41,Michael Garcia,Wellness,Female,747757,Twitter
42,Brandon Shelton,Bodybuilding,Male,697595,Twitter
43,Amy Jenkins,Bodybuilding,Female,857373,Twitter
44,Leslie Hernandez,Wellness,Male,718998,Twitter
45,Amanda Ellis,Wellness,Female,913420,Facebook
46,David Howard,Fitness,Female,997507,Twitter
47,Omar Wallace,Wellness,Male,640123,Twitter
48,Thomas Mendoza,Wellness,Female,248404,Facebook
49,Stephanie Mathis,Fitness,Female,643620,YouTube
50,Paige Martinez,Wellness,Male,61149,Instagram
51,Mrs. Kim Riddle,Wellness,Male,468930,Instagram
52,Meredith Simpson,Fitness,Female,176530,Instagram
53,Jessica Garrett,Fitness,Female,483978,Instagram
54,Carmen Graham,Wellness,Female,916653,Twitter
55,Blake Murphy,Nutrition,Female,877184,Facebook
56,Julie Bell,Nutrition,Male,699139,Twitter
57,Stephanie Wade,Bodybuilding,Male,594295,Instagram
58,Tiffany Sanchez,Nutrition,Female,325109,Twitter
59,Jesse Carroll,Nutrition,Female,527673,Twitter
60,Anna Tran,Wellness,Male,629644,Facebook
61,Brian Rich,Fitness,Male,169457,Instagram
62,Kayla Chen,Wellness,Male,557129,YouTube
63,Daniel Green,Nutrition,Male,245423,YouTube
64,Jennifer Taylor,Fitness,Male,968111,Twitter
65,Kelly Johnson,Bodybuilding,Female,581328,YouTube
66,Brian Griffin,Wellness,Male,70671,Facebook
67,Michelle Calderon,Wellness,Male,540702,Instagram
68,Jessica Estrada,Fitness,Male,775569,Twitter
69,Michelle Howe,Fitness,Female,620097,Facebook
70,John Elliott,Nutrition,Female,499080,Instagram
71,Nicholas Carney,Fitness,Male,139430,YouTube
72,Harry Chambers,Fitness,Male,952863,YouTube
73,Anna Ware,Nutrition,Female,697530,Twitter
74,Amber Wagner DDS,Nutrition,Female,124807,Facebook
75,Marcus Nguyen,Wellness,Male,883758,YouTube
76,Madeline Murphy,Fitness,Male,851121,Facebook
77,Brandon Hernandez,Fitness,Male,14519,YouTube
78,David Adams,Nutrition,Female,237929,Facebook
79,Mark Harrison,Nutrition,Female,264032,Twitter
80,Colin Jackson,Fitness,Female,822990,Instagram
81,Jessica Williams,Wellness,Female,57529,Twitter
82,Eric Jackson,Nutrition,Female,155197,Facebook
83,Michael Robinson,Wellness,Female,97059,Instagram
84,Jennifer Bowers,Wellness,Female,550143,Instagram
85,Willie Harris,Wellness,Male,709120,Twitter
86,Miguel Underwood,Fitness,Female,906853,YouTube
87,Billy Warren,Wellness,Female,477647,Twitter
88,Katherine Perez,Nutrition,Male,747157,Twitter
89,Victoria Lee,Nutrition,Male,863229,YouTube
90,Harry Olson,Nutrition,Male,394998,YouTube
91,Patrick Bryant,Fitness,Male,621173,Twitter
92,Courtney French,Wellness,Female,103859,Instagram
93,Amanda Vega,Bodybuilding,Female,732723,YouTube
94,James Diaz,Nutrition,Female,691418,Twitter
95,Jesse Thomas,Fitness,Male,70672,YouTube
96,Timothy Moody,Nutrition,Female,622527,Facebook
97,Miss Joanna Valdez,Bodybuilding,Male,955370,YouTube
98,John Smith,Wellness,Female,257662,Instagram
99,John Freeman,Nutrition,Male,248007,Instagram
100,Jessica Becker,Nutrition,Female,845517,Facebook
101,Kelly Baxter,Wellness,Male,891738,Twitter
102,Ms. Michelle Moore,Wellness,Female,561409,Twitter
103,Brett Sanders,Bodybuilding,Male,573639,Instagram
104,Michael Olson,Nutrition,Male,563168,YouTube
105,William Shaw,Fitness,Female,66043,Facebook
106,Michael Roy,Fitness,Female,153842,Twitter
107,Alicia Novak,Nutrition,Female,900456,Instagram
108,Johnny Smith,Fitness,Female,900348,YouTube
109,Gloria Shea,Wellness,Male,93218,Instagram
110,Mrs. Tonya Johnson,Fitness,Female,277953,Instagram
111,John Walker,Fitness,Male,638681,Twitter
112,Rebecca Padilla,Nutrition,Female,721957,Instagram
113,Michael Daugherty,Nutrition,Female,565636,Facebook
114,Alexis Brooks,Bodybuilding,Female,253175,YouTube
115,Patricia Rodriguez,Wellness,Male,176799,Facebook
116,John Mcdowell,Bodybuilding,Female,591486,Twitter
117,Jon Davis,Fitness,Female,728901,Instagram
118,Brandon Webb,Bodybuilding,Male,675812,YouTube
119,Matthew Lewis,Wellness,Female,836103,YouTube
120,Brad Lopez,Fitness,Female,533659,Instagram
121,Michael Carroll,Bodybuilding,Male,424681,Twitter
122,Ian Phelps,Fitness,Female,663281,Facebook
123,Harry Smith,Wellness,Female,244849,YouTube
124,Jesse George,Bodybuilding,Male,141240,Facebook
125,Miguel Miller,Bodybuilding,Female,306006,YouTube
126,Julia Jackson,Bodybuilding,Female,865048,Twitter
127,Tara Harvey,Wellness,Male,88230,Instagram
128,Jessica Harrison,Fitness,Male,965901,Twitter
129,Aaron Miller,Fitness,Male,728849,YouTube
130,Taylor Hill,Bodybuilding,Male,633555,YouTube
131,Dana Butler,Wellness,Male,226818,Facebook
132,Kevin Richardson,Bodybuilding,Male,659439,Twitter
133,Tara Preston,Bodybuilding,Male,208744,Facebook
134,Susan Williams,Nutrition,Female,903673,YouTube
135,Michelle Mcpherson,Wellness,Female,219456,Twitter
136,Gregg Scott,Fitness,Female,597507,Instagram
137,Crystal Berg,Bodybuilding,Male,262361,Instagram
