influencer_id,basis,rate,orders,total_payout
886,order,1752,10,17520
17,order,748,4,2992
564,post,1073,5,1073
558,order,1172,1,1172
340,post,1335,8,1335
307,post,1539,11,1539
550,post,1229,11,1229
211,post,1776,5,1776
506,order,1680,2,3360
202,post,1568,19,1568
292,post,1269,4,1269
304,post,645,7,645
176,post,1309,1,1309
41,post,1108,19,1108
417,post,1059,7,1059
191,order,524,19,9956
923,post,1623,20,1623
969,post,898,19,898
504,order,663,16,10608
996,post,1885,1,1885
905,post,669,20,669
131,post,292,10,292
60,post,1474,10,1474
514,post,1359,20,1359
800,order,355,5,1775
118,post,1969,10,1969
426,post,332,6,332
249,post,419,5,419
238,post,1626,8,1626
566,post,491,15,491
694,post,509,6,509
595,post,201,17,201
371,post,458,4,458
754,post,695,19,695
276,order,214,1,214
127,order,1981,20,39620
66,order,1892,2,3784
650,order,1698,18,30564
393,order,952,17,16184
382,post,723,9,723
577,post,948,13,948
700,post,1716,19,1716
162,post,1617,11,1617
174,post,1677,20,1677
418,post,1450,20,1450
53,post,1576,13,1576
728,order,600,3,1800
170,post,434,10,434
196,post,1832,18,1832
929,post,1914,11,1914
591,post,1144,1,1144
685,post,723,11,723
580,post,1425,9,1425
560,order,499,18,8982
245,post,446,19,446
134,order,737,2,1474
532,order,1047,18,18846
18,order,1951,20,39020
123,post,834,7,834
379,post,389,16,389
502,order,402,12,4824
285,post,400,17,400
494,post,326,14,326
826,order,1448,18,26064
406,post,348,17,348
648,post,386,2,386
882,order,399,8,3192
280,post,1941,18,1941
667,post,1808,11,1808
880,order,211,8,1688
490,order,314,14,4396
998,order,1091,14,15274
651,order,1054,13,13702
676,post,796,6,796
717,post,1741,3,1741
480,post,1772,15,1772
967,order,1206,18,21708
56,order,602,10,6020
82,order,393,7,2751
577,order,805,19,15295
280,post,861,9,861
987,post,1322,11,1322
788,order,861,12,10332
418,post,491,18,491
89,order,976,15,14640
688,order,1600,19,30400
715,order,1130,18,20340
41,post,599,19,599
18,post,503,20,503
208,post,480,3,480
616,post,897,9,897
89,post,1211,9,1211
399,post,254,10,254
9,post,303,11,303
317,order,1734,10,17340
739,order,1105,17,18785
404,order,1054,17,17918
314,order,1394,7,9758
999,post,1235,19,1235
963,post,1012,3,1012
353,order,272,20,5440
543,post,1823,17,1823
12,order,437,10,4370
973,post,1419,6,1419
834,order,1284,8,10272
4,order,1590,8,12720
65,post,1721,7,1721
27,post,1893,7,1893
772,order,1029,20,20580
439,order,413,17,7021
389,order,574,17,9758
2,post,299,2,299
541,post,876,2,876
739,order,310,18,5580
195,order,1834,11,20174
856,order,660,15,9900
187,order,736,6,4416
508,post,759,13,759
935,order,906,20,18120
791,order,1158,15,17370
500,order,1507,10,15070
589,post,1458,7,1458
975,order,1956,18,35208
237,order,1807,18,32526
