influencer_id,Platform,Date,URL,Caption,Reach,Likes,Comments
258,Twitter,2025-05-23,http://peterson-garrison.com/,Central receive record bag could common director camera.,81251,37380,3821
239,YouTube,2025-05-22,http://www.cruz-morris.com/,Answer exactly manager international memory ask institution.,485611,31654,3803
638,Facebook,2025-07-07,http://moore.info/,Indicate cause pick available.,499703,241,825
590,Facebook,2025-04-23,https://www.fleming.com/,Between natural action save low.,39777,27125,2078
718,YouTube,2025-05-06,https://www.porter.com/,Mention want choice among phone director hospital.,4437,35261,2188
650,YouTube,2025-07-19,https://smith.net/,Middle soldier region material knowledge.,172679,27621,3139
656,Facebook,2025-06-29,https://holland.com/,Effort especially security method.,150662,45315,1502
900,YouTube,2025-06-09,http://gardner-henderson.org/,Assume man American campaign short within.,317636,28989,2366
559,YouTube,2025-04-27,http://carter.com/,Avoid bed power expect yard then bring allow.,480378,5166,2319
176,Twitter,2025-06-11,http://www.hoffman.com/,Help popular several shake event both lawyer.,754387,35495,3851
717,Twitter,2025-06-29,https://www.serrano.com/,Throughout huge threat give song my.,399375,12252,3478
959,YouTube,2025-07-19,http://martin-mccoy.com/,Job fill thus garden short over.,62530,34964,1509
902,YouTube,2025-04-30,http://www.graham.info/,Media support age success respond society position.,472101,36849,1825
71,YouTube,2025-04-23,https://harris-alvarado.biz/,Base hand decision decide.,5224,42819,2287
390,YouTube,2025-05-02,https://singh-gordon.net/,This seek remain road.,16999,14086,3490
609,YouTube,2025-05-20,http://lopez-wood.biz/,Bring receive participant gas.,117237,48122,327
99,Instagram,2025-06-15,http://www.hicks.com/,Including early discuss tend including author as.,77374,24416,2087
525,Facebook,2025-07-12,http://hanson-reynolds.com/,Listen image represent ago those pull image old.,270411,25223,1032
105,Facebook,2025-06-21,http://valentine-johnson.com/,Purpose majority hand art Mrs.,6990,23828,3057
79,Twitter,2025-05-06,https://anderson-davis.biz/,Argue new not bit.,10693,14907,926
569,Facebook,2025-05-08,http://webster-carter.com/,Make board positive Republican main shoulder.,126563,39290,4131
695,Twitter,2025-06-10,https://cox-lee.com/,Officer effect tonight film level task.,215004,18760,4116
997,Twitter,2025-04-29,http://www.delgado.com/,Town keep fine nor professional.,571624,24572,1675
807,Instagram,2025-05-16,https://martin-potter.biz/,Purpose off coach husband.,451587,33318,851
655,Twitter,2025-07-13,https://www.rogers-kim.com/,Us beyond indeed.,627549,3803,2561
474,Twitter,2025-06-07,http://www.adams-hernandez.info/,Tend executive treatment involve raise when media.,443376,29278,1943
308,Instagram,2025-07-17,http://www.rodriguez.org/,Fish mention later available.,297380,14836,2267
398,Instagram,2025-05-19,http://mckinney-clay.com/,National popular magazine interest street.,732318,21784,3106
160,YouTube,2025-04-27,http://rodriguez.biz/,Coach training market scene central age agreement word.,429076,5020,827
338,Twitter,2025-04-23,https://www.nelson-vargas.net/,Model avoid poor drop.,840280,35410,4249
693,YouTube,2025-07-02,https://stout.com/,Former pull find agree.,544712,4500,4327
285,YouTube,2025-07-20,http://www.hawkins.com/,Information drive window room face action.,99526,32478,1220
905,YouTube,2025-06-28,http://villanueva-neal.com/,Manage interesting heavy state.,23351,9792,4091
259,Facebook,2025-05-01,http://taylor.com/,Ask forward difficult military arm.,135042,10691,3939
111,Twitter,2025-05-01,https://white-bell.net/,Career customer maintain eye.,599101,31506,1455
685,YouTube,2025-05-11,http://www.hicks.info/,Direction fact voice least newspaper.,574596,20022,1418
371,Facebook,2025-04-24,https://washington-leblanc.com/,Network generation then difficult property.,9303,17020,4543
98,Instagram,2025-04-25,http://garcia.com/,Section choose shoulder dog center.,194070,39469,1564
795,Twitter,2025-04-26,http://www.richmond-martin.com/,Wear reduce nature standard deal real green.,310548,41597,4254
921,Instagram,2025-06-28,http://www.jones-mckinney.com/,Energy election raise product street federal paper.,39161,26187,2441
682,Twitter,2025-05-02,http://williams.com/,Game particularly tree season quality occur place himself.,381179,44688,4163
