source,campaign,influencer_id,user_id,product,date,orders,revenue
YouTube,FitJuly,683,08688547-e06d-4b3d-9e88-ad8cf3e1f664,Vitamin C,2025-06-02,5,9953
YouTube,WellnessWave,426,f79b8bdf-6fc3-4190-bde8-b5ce71ab7e79,Multivitamin,2025-05-26,2,6670
Facebook,WellnessWave,623,e31c64c2-f856-4f00-b31d-6ddac2b04ff2,Vitamin C,2025-05-16,13,5396
Facebook,FitJuly,428,717909d4-b89f-4991-b2b2-8f7b26fa60c6,Whey Protein,2025-04-28,14,5950
Facebook,SummerShred,349,f84128ed-9fc9-49e6-8fe5-cbfe253ef0b5,Vitamin C,2025-05-20,3,739
Instagram,PowerBoost,84,417d95ef-9101-49e2-a92c-50b04defb84d,Multivitamin,2025-06-21,7,7050
Twitter,FitJuly,895,52493bd6-1bf8-4945-a7f2-909a2c6c0919,Creatine,2025-07-16,12,3825
YouTube,FitJuly,839,8e2226aa-644b-447a-b2ab-5b37f378e26c,Whey Protein,2025-06-22,3,7137
Instagram,FitJuly,833,f1f21292-48ab-41c1-b2d1-2c5a5d1a1668,Multivitamin,2025-07-17,17,3990
Instagram,SummerShred,568,7aedc65e-536c-40d3-ba2b-c0c487be6e90,Multivitamin,2025-07-13,19,4340
Twitter,PowerBoost,654,f595969c-04ef-4b15-b9c7-2a9caa09a0fa,Vitamin C,2025-06-12,7,3777
Facebook,WellnessWave,847,16033536-7fe9-4c66-ad36-177d9c5b9c3d,Vitamin C,2025-04-24,8,8318
Instagram,PowerBoost,671,d29fe4ef-8935-4521-96af-ab51a5ad5cf8,Multivitamin,2025-06-27,14,5857
Facebook,PowerBoost,173,424caf70-22bc-4de9-ba06-38ff3983f3cc,Multivitamin,2025-05-17,15,9638
Facebook,WellnessWave,232,0e2d1f40-7d1d-4773-91ad-422e19638109,Vitamin C,2025-06-11,13,5839
Twitter,PowerBoost,343,86267174-b01e-4f7c-bf71-4605dde8f18b,Whey Protein,2025-05-04,1,9923
YouTube,PowerBoost,213,d4fabd96-7973-4c94-afdb-6b4bf62ac2a7,Vitamin C,2025-05-27,7,8762
Twitter,SummerShred,610,deba958c-cc6a-4770-9b88-9e46a70a7f6d,Whey Protein,2025-07-02,11,4086
YouTube,WellnessWave,293,89b98adc-32fa-4aaa-b7d9-a196eb909dae,Whey Protein,2025-06-21,12,7730
Twitter,PowerBoost,771,d5ee07b2-e205-4d24-a7d3-a33c0a9f0fb5,Multivitamin,2025-06-15,16,6111
Twitter,PowerBoost,413,6b5651ec-d5ed-4423-9eb8-fe1089f73360,Whey Protein,2025-05-13,8,1585
YouTube,FitJuly,49,46c6a1e7-c693-4df5-865c-2350a26865fb,Whey Protein,2025-07-07,1,3298
Instagram,PowerBoost,112,93aa39e3-bca6-458f-964e-fa61d9168b81,Vitamin C,2025-05-25,19,6278
Twitter,WellnessWave,950,e0005a59-8afc-4836-865c-6c08810731ea,Creatine,2025-06-12,14,8043
YouTube,SummerShred,653,db741727-d73e-4f70-9e0b-3405cb9c376c,Whey Protein,2025-06-07,5,3845
Twitter,FitJuly,461,b1777d38-696b-433e-8e88-fde4fb040c30,Vitamin C,2025-04-25,13,1118
Twitter,SummerShred,343,399f5349-91a3-452a-830c-324671a6c81c,Creatine,2025-04-23,3,5390
Instagram,WellnessWave,210,ea0f631f-4b63-4c0b-9b42-f84acf532088,Multivitamin,2025-07-06,6,2647
Facebook,FitJuly,662,04511f44-e13f-4844-abba-38703bacd1f8,Whey Protein,2025-06-01,20,3705
Instagram,WellnessWave,617,e25d4090-7fcf-4aa5-ad75-d0bac09fa754,Creatine,2025-07-01,6,7790
Facebook,FitJuly,459,f16b8bda-5c08-41ef-a7bc-6ec5abd31849,Vitamin C,2025-07-20,14,9689
Twitter,FitJuly,710,a177c535-4d9f-43c5-8f3f-0112213aed60,Vitamin C,2025-07-01,14,7033
Twitter,PowerBoost,861,b9e15429-3d41-4fb2-8ee3-fc101a480cd9,Multivitamin,2025-05-25,6,7513
Instagram,FitJuly,661,e3fe1c3f-38c2-4dfd-9b10-ef4f342f4b40,Vitamin C,2025-05-03,3,936
Twitter,SummerShred,329,fbbc9d66-2582-41c2-b8a0-1577f5c7eb94,Vitamin C,2025-06-07,10,6752
Facebook,WellnessWave,632,b4abebcb-4a2f-4274-a860-ea02f69fb781,Vitamin C,2025-07-15,14,4601
Twitter,PowerBoost,266,2e28fc76-be93-45ba-8124-43b221bae3b3,Multivitamin,2025-05-14,18,8496
Instagram,PowerBoost,774,27a1de1d-f763-48ac-b488-63bfe07976a7,Vitamin C,2025-05-18,19,2005
Twitter,WellnessWave,895,fb2bdf2e-6574-41eb-b20d-96e4e4c4fa5c,Vitamin C,2025-07-03,9,1194
YouTube,SummerShred,190,08722eb2-4bfd-4214-aadc-6cce1c3f8a3b,Whey Protein,2025-06-22,10,9962
Instagram,WellnessWave,649,284bcfe9-1d13-4e84-ad5f-6720e72cefa5,Creatine,2025-05-07,4,5205
Twitter,PowerBoost,233,86bd34a2-557d-46a4-9472-3bf0b005e434,Whey Protein,2025-07-19,11,934
Twitter,SummerShred,340,8135ae3a-46fe-4256-9956-423716e3f289,Vitamin C,2025-05-10,5,5075
Twitter,PowerBoost,738,3671b26a-382d-42fe-9210-5e98fe277bcf,Multivitamin,2025-05-24,16,1068
Facebook,PowerBoost,962,03cbd1c9-b738-40b4-aa74-64c7e576a764,Whey Protein,2025-04-28,11,6511
Facebook,PowerBoost,467,d4ea38da-4eb7-4fc1-9da6-2e136b53cd12,Vitamin C,2025-04-29,19,2020
YouTube,WellnessWave,220,81812d4d-86cc-470d-af1b-2bf6241828bf,Creatine,2025-06-10,1,8317
Instagram,SummerShred,911,9b4182a9-1e50-401f-ac68-8e0acfb8c66c,Creatine,2025-04-25,16,6783
YouTube,FitJuly,767,ef7fb4ae-68cc-499d-8d58-8ca9cbbb6a86,Vitamin C,2025-04-28,1,2459
Instagram,FitJuly,316,dbb7991b-8f94-44ad-860f-f696f8a35a48,Vitamin C,2025-05-04,4,6053
Instagram,FitJuly,464,ddd081ea-66a8-47c0-909e-43873510a84b,Whey Protein,2025-07-20,3,7930
Twitter,PowerBoost,450,72a23ad6-c6c2-48be-a165-b393df1410d0,Creatine,2025-06-10,5,9167
Twitter,FitJuly,579,18f16083-3068-4459-be33-ff62662ba1f3,Multivitamin,2025-06-14,14,3823
Facebook,FitJuly,555,51f8805e-5a15-4760-9dac-fb4d8e553f54,Vitamin C,2025-06-17,4,1471
YouTube,WellnessWave,769,ff01ace5-205f-431e-811e-5f10d6afe6c8,Multivitamin,2025-06-25,9,1749
Instagram,PowerBoost,51,2c0b7e8d-3e35-4058-9597-6d55fc1c9735,Creatine,2025-05-25,1,5769
YouTube,SummerShred,971,a170ab4b-c335-4834-8b88-743f3e8e9823,Vitamin C,2025-06-09,8,6305
YouTube,PowerBoost,747,3e196006-6ed7-4a54-906c-ea9e1848ac37,Vitamin C,2025-05-01,10,7455
Twitter,PowerBoost,38,b45ce395-99a9-42de-8fe4-8b4edceb2f9f,Creatine,2025-04-23,1,7593
YouTube,SummerShred,119,b06f132a-9ec4-4057-9dde-2fe51ea1fa30,Creatine,2025-07-20,4,4360
Instagram,SummerShred,522,9db06971-747f-451e-ba8c-209890304f78,Multivitamin,2025-05-23,15,6367
Twitter,WellnessWave,40,e1176e76-ba11-4b35-8911-668d72746abf,Creatine,2025-07-06,11,4294
YouTube,FitJuly,129,1b69cf58-3e53-4eaf-837a-7eaa37347a9e,Multivitamin,2025-05-31,15,533
Twitter,PowerBoost,895,a738a63c-5c98-4778-8c0b-927e09c91931,Vitamin C,2025-04-26,4,5198
Facebook,FitJuly,541,02cd77eb-5e23-4a76-8dc9-a7aff11c7757,Vitamin C,2025-05-25,9,3362
Instagram,FitJuly,624,c95f1d1f-47ea-411a-ac34-02c64452c6d6,Vitamin C,2025-07-01,3,5301
Facebook,FitJuly,697,91e98fc2-5246-4051-a03a-3951cacf0310,Multivitamin,2025-04-28,20,2114
Facebook,FitJuly,187,6e45e518-9273-4e55-b052-cc86134c3e02,Multivitamin,2025-05-16,4,4312
YouTube,PowerBoost,587,cc1ad269-edf6-49e1-8c49-97ea2ec4a31f,Whey Protein,2025-06-18,16,3701
YouTube,FitJuly,383,2d24d045-08cd-447d-bc29-cf119f105ead,Vitamin C,2025-06-04,4,9969
Instagram,PowerBoost,260,5db5434c-0599-4231-b9dc-c88e06068370,Whey Protein,2025-04-23,7,6225
Instagram,FitJuly,659,b5deb183-f2af-46d4-ab31-39cadec02b06,Creatine,2025-07-12,8,5980
Facebook,FitJuly,159,12c92f1a-1e10-42a0-b778-09dd995e43cc,Vitamin C,2025-05-30,18,5411
YouTube,FitJuly,877,45700444-d4ea-49d7-8c98-c722fe7e436b,Creatine,2025-07-03,16,3595
Instagram,SummerShred,974,d3cfa54d-f6bd-4333-bf97-4b9ae3651764,Multivitamin,2025-06-17,1,6617
Twitter,PowerBoost,255,9c8539e8-c20e-4eb2-83b9-16913ef3c592,Vitamin C,2025-06-19,1,5965
